forecast_date,target,target_end_date,location,type,quantile,value
2022-01-16,1 wk ahead cum death,2022-01-22,US,point,NA,873573
2022-01-16,2 wk ahead cum death,2022-01-29,US,point,NA,904470
2022-01-16,3 wk ahead cum death,2022-02-05,US,point,NA,947989
2022-01-16,4 wk ahead cum death,2022-02-12,US,point,NA,991243
2022-01-16,1 wk ahead inc death,2022-01-22,US,point,NA,-764
2022-01-16,2 wk ahead inc death,2022-01-29,US,point,NA,3267
2022-01-16,3 wk ahead inc death,2022-02-05,US,point,NA,15889
2022-01-16,4 wk ahead inc death,2022-02-12,US,point,NA,15624
2022-01-16,1 wk ahead cum death,2022-01-22,01,point,NA,16898
2022-01-16,2 wk ahead cum death,2022-01-29,01,point,NA,17118
2022-01-16,3 wk ahead cum death,2022-02-05,01,point,NA,17601
2022-01-16,4 wk ahead cum death,2022-02-12,01,point,NA,17918
2022-01-16,1 wk ahead cum death,2022-01-22,02,point,NA,1023
2022-01-16,2 wk ahead cum death,2022-01-29,02,point,NA,1084
2022-01-16,3 wk ahead cum death,2022-02-05,02,point,NA,1159
2022-01-16,4 wk ahead cum death,2022-02-12,02,point,NA,1210
2022-01-16,1 wk ahead cum death,2022-01-22,04,point,NA,25327
2022-01-16,2 wk ahead cum death,2022-01-29,04,point,NA,26051
2022-01-16,3 wk ahead cum death,2022-02-05,04,point,NA,26779
2022-01-16,4 wk ahead cum death,2022-02-12,04,point,NA,27444
2022-01-16,1 wk ahead cum death,2022-01-22,05,point,NA,9592
2022-01-16,2 wk ahead cum death,2022-01-29,05,point,NA,9825
2022-01-16,3 wk ahead cum death,2022-02-05,05,point,NA,10075
2022-01-16,4 wk ahead cum death,2022-02-12,05,point,NA,10254
2022-01-16,1 wk ahead cum death,2022-01-22,06,point,NA,79270
2022-01-16,2 wk ahead cum death,2022-01-29,06,point,NA,81145
2022-01-16,3 wk ahead cum death,2022-02-05,06,point,NA,83805
2022-01-16,4 wk ahead cum death,2022-02-12,06,point,NA,86748
2022-01-16,1 wk ahead cum death,2022-01-22,08,point,NA,10865
2022-01-16,2 wk ahead cum death,2022-01-29,08,point,NA,11190
2022-01-16,3 wk ahead cum death,2022-02-05,08,point,NA,11563
2022-01-16,4 wk ahead cum death,2022-02-12,08,point,NA,11813
2022-01-16,1 wk ahead cum death,2022-01-22,09,point,NA,9814
2022-01-16,2 wk ahead cum death,2022-01-29,09,point,NA,10074
2022-01-16,3 wk ahead cum death,2022-02-05,09,point,NA,10840
2022-01-16,4 wk ahead cum death,2022-02-12,09,point,NA,11525
2022-01-16,1 wk ahead cum death,2022-01-22,10,point,NA,2460
2022-01-16,2 wk ahead cum death,2022-01-29,10,point,NA,2536
2022-01-16,3 wk ahead cum death,2022-02-05,10,point,NA,2636
2022-01-16,4 wk ahead cum death,2022-02-12,10,point,NA,2703
2022-01-16,1 wk ahead cum death,2022-01-22,11,point,NA,1294
2022-01-16,2 wk ahead cum death,2022-01-29,11,point,NA,1333
2022-01-16,3 wk ahead cum death,2022-02-05,11,point,NA,1381
2022-01-16,4 wk ahead cum death,2022-02-12,11,point,NA,1428
2022-01-16,1 wk ahead cum death,2022-01-22,12,point,NA,70501
2022-01-16,2 wk ahead cum death,2022-01-29,12,point,NA,79547
2022-01-16,3 wk ahead cum death,2022-02-05,12,point,NA,92349
2022-01-16,4 wk ahead cum death,2022-02-12,12,point,NA,103787
2022-01-16,1 wk ahead cum death,2022-01-22,13,point,NA,32370
2022-01-16,2 wk ahead cum death,2022-01-29,13,point,NA,32964
2022-01-16,3 wk ahead cum death,2022-02-05,13,point,NA,33614
2022-01-16,4 wk ahead cum death,2022-02-12,13,point,NA,34193
2022-01-16,1 wk ahead cum death,2022-01-22,15,point,NA,1215
2022-01-16,2 wk ahead cum death,2022-01-29,15,point,NA,1313
2022-01-16,3 wk ahead cum death,2022-02-05,15,point,NA,1442
2022-01-16,4 wk ahead cum death,2022-02-12,15,point,NA,1978
2022-01-16,1 wk ahead cum death,2022-01-22,16,point,NA,4349
2022-01-16,2 wk ahead cum death,2022-01-29,16,point,NA,4442
2022-01-16,3 wk ahead cum death,2022-02-05,16,point,NA,4556
2022-01-16,4 wk ahead cum death,2022-02-12,16,point,NA,4637
2022-01-16,1 wk ahead cum death,2022-01-22,17,point,NA,32570
2022-01-16,2 wk ahead cum death,2022-01-29,17,point,NA,33656
2022-01-16,3 wk ahead cum death,2022-02-05,17,point,NA,34859
2022-01-16,4 wk ahead cum death,2022-02-12,17,point,NA,36319
2022-01-16,1 wk ahead cum death,2022-01-22,18,point,NA,20575
2022-01-16,2 wk ahead cum death,2022-01-29,18,point,NA,20959
2022-01-16,3 wk ahead cum death,2022-02-05,18,point,NA,21442
2022-01-16,4 wk ahead cum death,2022-02-12,18,point,NA,21765
2022-01-16,1 wk ahead cum death,2022-01-22,19,point,NA,8362
2022-01-16,2 wk ahead cum death,2022-01-29,19,point,NA,8554
2022-01-16,3 wk ahead cum death,2022-02-05,19,point,NA,8802
2022-01-16,4 wk ahead cum death,2022-02-12,19,point,NA,8973
2022-01-16,1 wk ahead cum death,2022-01-22,20,point,NA,7379
2022-01-16,2 wk ahead cum death,2022-01-29,20,point,NA,7625
2022-01-16,3 wk ahead cum death,2022-02-05,20,point,NA,7927
2022-01-16,4 wk ahead cum death,2022-02-12,20,point,NA,8137
2022-01-16,1 wk ahead cum death,2022-01-22,21,point,NA,12911
2022-01-16,2 wk ahead cum death,2022-01-29,21,point,NA,13400
