forecast_date,target,target_end_date,location,type,quantile,value
2021-08-15,1 wk ahead cum death,2021-08-21,US,point,NA,624365
2021-08-15,2 wk ahead cum death,2021-08-28,US,point,NA,630254
2021-08-15,3 wk ahead cum death,2021-09-04,US,point,NA,637742
2021-08-15,4 wk ahead cum death,2021-09-11,US,point,NA,647007
2021-08-15,1 wk ahead inc death,2021-08-21,US,point,NA,4359
2021-08-15,2 wk ahead inc death,2021-08-28,US,point,NA,5579
2021-08-15,3 wk ahead inc death,2021-09-04,US,point,NA,7178
2021-08-15,4 wk ahead inc death,2021-09-11,US,point,NA,8956
2021-08-15,1 wk ahead cum death,2021-08-21,01,point,NA,11939
2021-08-15,2 wk ahead cum death,2021-08-28,01,point,NA,12165
2021-08-15,3 wk ahead cum death,2021-09-04,01,point,NA,12483
2021-08-15,4 wk ahead cum death,2021-09-11,01,point,NA,12872
2021-08-15,1 wk ahead cum death,2021-08-21,02,point,NA,426
2021-08-15,2 wk ahead cum death,2021-08-28,02,point,NA,444
2021-08-15,3 wk ahead cum death,2021-09-04,02,point,NA,471
2021-08-15,4 wk ahead cum death,2021-09-11,02,point,NA,501
2021-08-15,1 wk ahead cum death,2021-08-21,04,point,NA,18619
2021-08-15,2 wk ahead cum death,2021-08-28,04,point,NA,18754
2021-08-15,3 wk ahead cum death,2021-09-04,04,point,NA,18943
2021-08-15,4 wk ahead cum death,2021-09-11,04,point,NA,19152
2021-08-15,1 wk ahead cum death,2021-08-21,05,point,NA,6615
2021-08-15,2 wk ahead cum death,2021-08-28,05,point,NA,6800
2021-08-15,3 wk ahead cum death,2021-09-04,05,point,NA,7025
2021-08-15,4 wk ahead cum death,2021-09-11,05,point,NA,7307
2021-08-15,1 wk ahead cum death,2021-08-21,06,point,NA,64899
2021-08-15,2 wk ahead cum death,2021-08-28,06,point,NA,65127
2021-08-15,3 wk ahead cum death,2021-09-04,06,point,NA,65551
2021-08-15,4 wk ahead cum death,2021-09-11,06,point,NA,66360
2021-08-15,1 wk ahead cum death,2021-08-21,08,point,NA,7087
2021-08-15,2 wk ahead cum death,2021-08-28,08,point,NA,7146
2021-08-15,3 wk ahead cum death,2021-09-04,08,point,NA,7231
2021-08-15,4 wk ahead cum death,2021-09-11,08,point,NA,7330
2021-08-15,1 wk ahead cum death,2021-08-21,09,point,NA,8324
2021-08-15,2 wk ahead cum death,2021-08-28,09,point,NA,8346
2021-08-15,3 wk ahead cum death,2021-09-04,09,point,NA,8378
2021-08-15,4 wk ahead cum death,2021-09-11,09,point,NA,8425
2021-08-15,1 wk ahead cum death,2021-08-21,10,point,NA,1868
2021-08-15,2 wk ahead cum death,2021-08-28,10,point,NA,1877
2021-08-15,3 wk ahead cum death,2021-09-04,10,point,NA,1901
2021-08-15,4 wk ahead cum death,2021-09-11,10,point,NA,1929
2021-08-15,1 wk ahead cum death,2021-08-21,11,point,NA,1153
2021-08-15,2 wk ahead cum death,2021-08-28,11,point,NA,1157
2021-08-15,3 wk ahead cum death,2021-09-04,11,point,NA,1166
2021-08-15,4 wk ahead cum death,2021-09-11,11,point,NA,1178
2021-08-15,1 wk ahead cum death,2021-08-21,12,point,NA,40824
2021-08-15,2 wk ahead cum death,2021-08-28,12,point,NA,40886
2021-08-15,3 wk ahead cum death,2021-09-04,12,point,NA,41039
2021-08-15,4 wk ahead cum death,2021-09-11,12,point,NA,41336
2021-08-15,1 wk ahead cum death,2021-08-21,13,point,NA,22226
2021-08-15,2 wk ahead cum death,2021-08-28,13,point,NA,22561
2021-08-15,3 wk ahead cum death,2021-09-04,13,point,NA,22984
2021-08-15,4 wk ahead cum death,2021-09-11,13,point,NA,23500
2021-08-15,1 wk ahead cum death,2021-08-21,15,point,NA,557
2021-08-15,2 wk ahead cum death,2021-08-28,15,point,NA,575
2021-08-15,3 wk ahead cum death,2021-09-04,15,point,NA,606
2021-08-15,4 wk ahead cum death,2021-09-11,15,point,NA,645
2021-08-15,1 wk ahead cum death,2021-08-21,16,point,NA,2276
2021-08-15,2 wk ahead cum death,2021-08-28,16,point,NA,2314
2021-08-15,3 wk ahead cum death,2021-09-04,16,point,NA,2360
2021-08-15,4 wk ahead cum death,2021-09-11,16,point,NA,2406
2021-08-15,1 wk ahead cum death,2021-08-21,17,point,NA,26148
2021-08-15,2 wk ahead cum death,2021-08-28,17,point,NA,26321
2021-08-15,3 wk ahead cum death,2021-09-04,17,point,NA,26530
